Username,Trajectory,X,Y,Z
Raj Gaurav,Triangle,-6.405366,1.59627,4.389876
Raj Gaurav,Triangle,-6.405978,1.594463,4.391441
Raj Gaurav,Triangle,-6.406816,1.590419,4.396386
Raj Gaurav,Triangle,-6.407066,1.588389,4.398444
Raj Gaurav,Triangle,-6.409308,1.580954,4.408728
Raj Gaurav,Triangle,-6.4095,1.580133,4.409405
Raj Gaurav,Triangle,-6.41054,1.578733,4.415679
Raj Gaurav,Triangle,-6.410408,1.578401,4.416762
Raj Gaurav,Triangle,-6.409308,1.575832,4.426643
Raj Gaurav,Triangle,-6.408295,1.573919,4.429361
Raj Gaurav,Triangle,-6.402813,1.56485,4.446425
Raj Gaurav,Triangle,-6.401952,1.561267,4.449448
Raj Gaurav,Triangle,-6.404223,1.551879,4.471169
Raj Gaurav,Triangle,-6.403896,1.54607,4.474455
Raj Gaurav,Triangle,-6.404104,1.538144,4.489693
Raj Gaurav,Triangle,-6.404154,1.530489,4.491264
Raj Gaurav,Triangle,-6.40329,1.526412,4.502892
Raj Gaurav,Triangle,-6.401917,1.519725,4.505734
Raj Gaurav,Triangle,-6.39845,1.50836,4.522709
Raj Gaurav,Triangle,-6.398078,1.503685,4.526149
Raj Gaurav,Triangle,-6.406944,1.280606,4.922047
Raj Gaurav,Triangle,-6.407327,1.279071,4.938785
Raj Gaurav,Triangle,-6.407915,1.278401,4.941633
Raj Gaurav,Triangle,-6.409346,1.278723,4.954069
Raj Gaurav,Triangle,-6.410024,1.278001,4.956745
Raj Gaurav,Triangle,-6.411464,1.278176,4.96875
Raj Gaurav,Triangle,-6.411383,1.276782,4.971983
Raj Gaurav,Triangle,-6.41109,1.2797,4.979773
Raj Gaurav,Triangle,-6.411533,1.279578,4.980993
Raj Gaurav,Triangle,-6.412314,1.283786,4.987002
Raj Gaurav,Triangle,-6.412683,1.283767,4.988883
Raj Gaurav,Triangle,-6.413052,1.28883,4.991755
Raj Gaurav,Triangle,-6.412076,1.291902,4.994473
Raj Gaurav,Triangle,-6.411351,1.301013,4.998278
Raj Gaurav,Triangle,-6.410873,1.304018,4.999526
Raj Gaurav,Triangle,-6.41108,1.315107,5.001915
Raj Gaurav,Triangle,-6.410704,1.316728,5.002491
Raj Gaurav,Triangle,-6.412488,1.334061,5.002074
Raj Gaurav,Triangle,-6.412394,1.340194,4.999976
Raj Gaurav,Triangle,-6.410912,1.359425,4.997576
Raj Gaurav,Triangle,-6.408981,1.36449,4.996715
Raj Gaurav,Triangle,-6.409426,1.381319,4.997108
Raj Gaurav,Triangle,-6.409689,1.385601,4.996544
Raj Gaurav,Triangle,-6.412626,1.405911,4.995461
Raj Gaurav,Triangle,-6.412636,1.412748,4.994551
Raj Gaurav,Triangle,-6.413503,1.428285,4.994864
Raj Gaurav,Triangle,-6.412868,1.443533,4.993471
Raj Gaurav,Triangle,-6.410504,1.463399,4.990998
Raj Gaurav,Triangle,-6.411551,1.484596,4.993993
Raj Gaurav,Triangle,-6.411551,1.483719,4.993993
Raj Gaurav,Triangle,-6.411551,1.476456,4.993992
Raj Gaurav,Triangle,-6.411551,1.4664,4.993993
Raj Gaurav,Triangle,-6.411551,1.453905,4.993993
Raj Gaurav,Triangle,-6.411551,1.439151,4.993993
Raj Gaurav,Triangle,-6.411551,1.430615,4.993993
Raj Gaurav,Triangle,-6.411551,1.402999,4.993992
Raj Gaurav,Triangle,-6.411551,1.382375,4.993993
Raj Gaurav,Triangle,-6.411551,1.35791,4.993993
Raj Gaurav,Triangle,-6.411551,1.332767,4.993993
Raj Gaurav,Triangle,-6.411551,1.303409,4.993993
Raj Gaurav,Triangle,-6.411551,1.273129,4.993993
Raj Gaurav,Triangle,-6.411552,1.239591,4.993993
Raj Gaurav,Triangle,-6.417068,1.230333,4.99906
