Username,Trajectory,X,Y,Z
Hgg,Circle,-6.363376,1.504786,4.781084
Hgg,Circle,-6.367225,1.499129,4.776217
Hgg,Circle,-6.369066,1.496665,4.774717
Hgg,Circle,-6.369381,1.495423,4.774368
Hgg,Circle,-6.368467,1.49341,4.77153
Hgg,Circle,-6.367151,1.491367,4.768089
Hgg,Circle,-6.366619,1.491889,4.768585
Hgg,Circle,-6.366166,1.492696,4.766013
Hgg,Circle,-6.364524,1.495125,4.763311
Hgg,Circle,-6.362757,1.497366,4.761997
Hgg,Circle,-6.361465,1.499452,4.761398
Hgg,Circle,-6.359118,1.503213,4.76022
Hgg,Circle,-6.357686,1.506437,4.759258
Hgg,Circle,-6.355921,1.509032,4.757586
Hgg,Circle,-6.3543,1.511267,4.756335
Hgg,Circle,-6.353329,1.512922,4.755335
Hgg,Circle,-6.352405,1.51409,4.754116
Hgg,Circle,-6.350929,1.516086,4.751941
Hgg,Circle,-6.349607,1.517265,4.749585
Hgg,Circle,-6.348215,1.515314,4.745078
Hgg,Circle,-6.347963,1.515178,4.743438
Hgg,Circle,-6.347732,1.515144,4.741417
Hgg,Circle,-6.348646,1.512646,4.739221
Hgg,Circle,-6.349391,1.50865,4.735861
Hgg,Circle,-6.349823,1.505881,4.733045
Hgg,Circle,-6.350196,1.503683,4.731156
Hgg,Circle,-6.351251,1.498834,4.729812
Hgg,Circle,-6.351997,1.494489,4.727987
Hgg,Circle,-6.351814,1.495205,4.729348
Hgg,Circle,-6.35198,1.494369,4.728985
Hgg,Circle,-6.351907,1.493254,4.727841
Hgg,Circle,-6.35203,1.491811,4.724661
Hgg,Circle,-6.352311,1.4908,4.723681
Hgg,Circle,-6.352304,1.490317,4.722696
Hgg,Circle,-6.352054,1.489628,4.7209
Hgg,Circle,-6.35215,1.489135,4.72003
Hgg,Circle,-6.352547,1.48886,4.71896
Hgg,Circle,-6.352753,1.489026,4.717738
Hgg,Circle,-6.352601,1.489686,4.716147
Hgg,Circle,-6.352366,1.490062,4.714466
Hgg,Circle,-6.353134,1.490646,4.713645
Hgg,Circle,-6.353963,1.491195,4.712082
Hgg,Circle,-6.354082,1.491914,4.711842
Hgg,Circle,-6.353065,1.492283,4.711192
Hgg,Circle,-6.352365,1.492603,4.711248
Hgg,Circle,-6.352034,1.492974,4.711089
Hgg,Circle,-6.352368,1.49446,4.711765
Hgg,Circle,-6.352253,1.494898,4.710283
Hgg,Circle,-6.351748,1.495576,4.709564
Hgg,Circle,-6.351871,1.495931,4.710583
Hgg,Circle,-6.351891,1.495658,4.710614
Hgg,Circle,-6.351645,1.495213,4.710575
Hgg,Circle,-6.351337,1.493887,4.710529
Hgg,Circle,-6.350539,1.493724,4.710903
Hgg,Circle,-6.349339,1.493458,4.711054
Hgg,Circle,-6.347189,1.492142,4.71235
Hgg,Circle,-6.345625,1.491448,4.712122
Hgg,Circle,-6.344492,1.491125,4.712011
Hgg,Circle,-6.342555,1.490766,4.712599
Hgg,Circle,-6.340164,1.490183,4.712817
Hgg,Circle,-6.345196,1.476108,4.711413
Hgg,Circle,-6.322146,1.48205,4.717066
Hgg,Circle,-6.348475,1.468465,4.711843
Hgg,Circle,-6.3441,1.46325,4.71225
Hgg,Circle,-6.343326,1.455832,4.712764
Hgg,Circle,-6.343633,1.447185,4.711301
Hgg,Circle,-6.344267,1.437074,4.711293
Hgg,Circle,-6.342947,1.424875,4.711243
Hgg,Circle,-6.3438,1.417188,4.709972
Hgg,Circle,-6.34385,1.407158,4.709623
Hgg,Circle,-6.296945,1.50529,4.705903
Hgg,Circle,-6.296337,1.510826,4.701958
Hgg,Circle,-6.294101,1.499863,4.702294
Hgg,Circle,-6.29432,1.457058,4.703826
Hgg,Circle,-6.293452,1.442343,4.703937
Hgg,Circle,-6.294182,1.430244,4.703959
Hgg,Circle,-6.293982,1.415541,4.703525
Hgg,Circle,-6.294076,1.396186,4.703755
Hgg,Circle,-6.294009,1.374574,4.703609
Hgg,Circle,-6.294271,1.353998,4.704184
Hgg,Circle,-6.294658,1.33299,4.703121
Hgg,Circle,-6.295007,1.297579,4.703113
Hgg,Circle,-6.294935,1.258885,4.704051
Hgg,Circle,-6.285397,1.23073,4.702291
Hgg,Circle,-6.265338,1.415417,5.005242
Hgg,Circle,-6.260504,1.40574,5.0021
Hgg,Circle,-6.259131,1.395156,4.998655
Hgg,Circle,-6.260229,1.383957,5.000714
Hgg,Circle,-6.265044,1.375686,5.008062
Hgg,Circle,-6.27589,1.366254,5.023686
Hgg,Circle,-6.299255,1.237918,4.974612
Hgg,Circle,-6.25526,1.311349,4.907752
Hgg,Circle,-6.295772,1.239772,4.976968
Hgg,Circle,-6.295117,1.239403,4.977684
Hgg,Circle,-6.293683,1.238411,4.979331
Hgg,Circle,-6.292233,1.237149,4.981084
Hgg,Circle,-6.290709,1.235685,4.982921
