Username,Trajectory,X,Y,Z
Gaurav,Star,-6.444219,1.696805,4.5251
Gaurav,Star,-6.444219,1.692196,4.5251
Gaurav,Star,-6.444219,1.686561,4.5251
Gaurav,Star,-6.444219,1.679085,4.5251
Gaurav,Star,-6.444219,1.667826,4.5251
Gaurav,Star,-6.444219,1.655063,4.5251
Gaurav,Star,-6.444219,1.636677,4.5251
Gaurav,Star,-6.444219,1.620756,4.5251
Gaurav,Star,-6.444219,1.600396,4.5251
Gaurav,Star,-6.444219,1.578045,4.5251
Gaurav,Star,-6.444219,1.552,4.5251
Gaurav,Star,-6.444219,1.523313,4.5251
Gaurav,Star,-6.444219,1.495813,4.5251
Gaurav,Star,-6.444219,1.462043,4.5251
Gaurav,Star,-6.444219,1.42814,4.5251
Gaurav,Star,-6.444219,1.389779,4.5251
Gaurav,Star,-6.444219,1.350029,4.5251
Gaurav,Star,-6.444219,1.310179,4.5251
Gaurav,Star,-6.444219,1.261977,4.5251
Gaurav,Star,-6.445309,1.232751,4.518279
Gaurav,Star,-6.447703,1.226158,4.508709
Gaurav,Star,-6.450006,1.225136,4.50438
Gaurav,Star,-6.451886,1.224941,4.501609
Gaurav,Star,-6.452806,1.224927,4.500258
Gaurav,Star,-6.452982,1.224903,4.499967
Gaurav,Star,-6.452981,1.224916,4.500007
Gaurav,Star,-6.452983,1.224917,4.500015
Gaurav,Star,-6.452983,1.224917,4.500015
Gaurav,Star,-6.452983,1.224917,4.500015
Gaurav,Star,-6.452983,1.224917,4.500014
