Username,Trajectory,X,Y,Z
Gaurav,Star,-6.21961,1.19272,5.237609
Gaurav,Star,-6.329741,1.749321,4.502003
Gaurav,Star,-6.335112,1.738876,4.52465
Gaurav,Star,-6.341204,1.728856,4.544963
Gaurav,Star,-6.345965,1.715623,4.56659
Gaurav,Star,-6.345084,1.701332,4.580868
Gaurav,Star,-6.343192,1.689632,4.596948
Gaurav,Star,-6.345258,1.674106,4.619273
Gaurav,Star,-6.344439,1.658624,4.64092
Gaurav,Star,-6.345063,1.645232,4.659706
Gaurav,Star,-6.35236,1.630891,4.682791
Gaurav,Star,-6.357973,1.613529,4.704567
Gaurav,Star,-6.361203,1.60183,4.724537
Gaurav,Star,-6.365066,1.586014,4.752561
Gaurav,Star,-6.368626,1.574681,4.782673
Gaurav,Star,-6.370653,1.565088,4.80384
Gaurav,Star,-6.370926,1.553939,4.828871
Gaurav,Star,-6.372759,1.541283,4.851253
Gaurav,Star,-6.369169,1.526146,4.872941
Gaurav,Star,-6.363703,1.517189,4.893031
Gaurav,Star,-6.357946,1.508701,4.914515
Gaurav,Star,-6.351016,1.499769,4.936552
