Username,Trajectory,X,Y,Z
RAJ,Star,0.079,0.01,-0.014
RAJ,Star,-6.233912,1.229391,4.945147
RAJ,Star,-6.233912,1.228558,4.945147
RAJ,Star,-6.233912,1.228455,4.945147
RAJ,Star,-6.233912,1.22843,4.945147
RAJ,Star,-6.233912,1.228428,4.945147
RAJ,Star,-6.233912,1.228428,4.945147
RAJ,Star,-6.23391,1.228427,4.945149
RAJ,Star,-6.23389,1.228408,4.945338
RAJ,Star,-6.233894,1.228484,4.945426
RAJ,Star,-6.233902,1.22851,4.945512
RAJ,Star,-6.233887,1.228496,4.945534
RAJ,Star,-6.233918,1.228418,4.945386
RAJ,Star,-6.233896,1.228407,4.945366
RAJ,Star,-6.233896,1.22841,4.945425
RAJ,Star,-6.233884,1.228403,4.945518
RAJ,Star,-6.233872,1.228398,4.945538
RAJ,Star,-6.233862,1.228399,4.945514
RAJ,Star,-6.233885,1.228418,4.94535
RAJ,Star,-6.233897,1.228429,4.945295
RAJ,Star,-6.233894,1.228434,4.945256
RAJ,Star,-6.233892,1.228433,4.945271
RAJ,Star,-6.233877,1.228423,4.945326
RAJ,Star,-6.233883,1.228423,4.945338
RAJ,Star,-6.233883,1.228423,4.945335
RAJ,Star,-6.233876,1.228422,4.945368
RAJ,Star,-6.233884,1.228427,4.945375
RAJ,Star,-6.233886,1.22844,4.945392
RAJ,Star,-6.233896,1.228445,4.945417
RAJ,Star,-6.233879,1.228445,4.945367
RAJ,Star,-6.233875,1.228443,4.94535
RAJ,Star,-6.233866,1.228447,4.94534
RAJ,Star,-6.233877,1.228428,4.945295
RAJ,Star,-6.233862,1.228427,4.94526
RAJ,Star,-6.233863,1.228428,4.945256
RAJ,Star,-6.233863,1.228428,4.945257
RAJ,Star,-6.233863,1.228428,4.945257
RAJ,Star,-6.233862,1.228428,4.945257
RAJ,Star,-6.233795,1.228606,4.94501
RAJ,Star,-6.233788,1.229995,4.943402
RAJ,Star,-6.233632,1.231515,4.941335
RAJ,Star,-6.233077,1.232288,4.939651
RAJ,Star,-6.232669,1.232727,4.938457
RAJ,Star,-6.232511,1.233644,4.936833
RAJ,Star,-6.232192,1.234424,4.93515
RAJ,Star,-6.231586,1.235155,4.933335
RAJ,Star,-6.230786,1.235745,4.931552
RAJ,Star,-6.23033,1.236298,4.930112
RAJ,Star,-6.2302,1.236977,4.928601
RAJ,Star,-6.230179,1.237561,4.927381
RAJ,Star,-6.230237,1.238001,4.926369
RAJ,Star,-6.230292,1.238631,4.924973
RAJ,Star,-6.230387,1.239289,4.923265
RAJ,Star,-6.230609,1.240103,4.92104
RAJ,Star,-6.230768,1.240717,4.919087
RAJ,Star,-6.231059,1.241524,4.915932
RAJ,Star,-6.231209,1.241721,4.914938
RAJ,Star,-6.231339,1.241864,4.914127
RAJ,Star,-6.231609,1.24222,4.911822
RAJ,Star,-6.231902,1.242551,4.909123
RAJ,Star,-6.232369,1.242612,4.906004
RAJ,Star,-6.232827,1.242654,4.902735
RAJ,Star,-6.233278,1.242195,4.899341
RAJ,Star,-6.233879,1.241609,4.895749
RAJ,Star,-6.234435,1.240612,4.891677
RAJ,Star,-6.235004,1.23917,4.88746
RAJ,Star,-6.23559,1.237042,4.88272
RAJ,Star,-6.236321,1.233937,4.877417
RAJ,Star,-6.237141,1.229269,4.871478
RAJ,Star,-6.236926,1.226252,4.866894
RAJ,Star,-6.235739,1.229458,4.865693
RAJ,Star,-6.23488,1.229267,4.864586
RAJ,Star,-6.234224,1.22784,4.864277
RAJ,Star,-6.23421,1.227137,4.864919
RAJ,Star,-6.23451,1.227103,4.865281
RAJ,Star,-6.234402,1.227134,4.865099
RAJ,Star,-6.234235,1.227095,4.864866
RAJ,Star,-6.23421,1.227098,4.864837
RAJ,Star,-6.234333,1.22851,4.862827
RAJ,Star,-6.234661,1.231187,4.859502
RAJ,Star,-6.235087,1.233829,4.856174
RAJ,Star,-6.235458,1.235678,4.853198
RAJ,Star,-6.23596,1.236918,4.850324
RAJ,Star,-6.236592,1.237493,4.848307
RAJ,Star,-6.237117,1.238011,4.846522
RAJ,Star,-6.237699,1.238556,4.844546
RAJ,Star,-6.238142,1.238907,4.843076
RAJ,Star,-6.238584,1.239173,4.841812
RAJ,Star,-6.238982,1.239488,4.840455
RAJ,Star,-6.239135,1.239694,4.839823
RAJ,Star,-6.239474,1.239853,4.839185
RAJ,Star,-6.239843,1.240062,4.837982
RAJ,Star,-6.240173,1.240312,4.836536
RAJ,Star,-6.240393,1.240451,4.835408
RAJ,Star,-6.240283,1.240551,4.834826
RAJ,Star,-6.240199,1.240591,4.834741
RAJ,Star,-6.240209,1.240522,4.835032
RAJ,Star,-6.240228,1.24048,4.835141
RAJ,Star,-6.240191,1.240636,4.834552
RAJ,Star,-6.240138,1.240822,4.83388
RAJ,Star,-6.240122,1.240892,4.833649
RAJ,Star,-6.240159,1.240701,4.834361
RAJ,Star,-6.240218,1.240387,4.835446
RAJ,Star,-6.240284,1.240006,4.836656
RAJ,Star,-6.240338,1.239679,4.837633
RAJ,Star,-6.240446,1.238914,4.83968
RAJ,Star,-6.24059,1.237728,4.842427
RAJ,Star,-6.240833,1.236055,4.845872
RAJ,Star,-6.241005,1.233567,4.84984
RAJ,Star,-6.241184,1.228485,4.856156
RAJ,Star,-6.239774,1.227616,4.86117
RAJ,Star,-6.238938,1.229169,4.862344
RAJ,Star,-6.238121,1.227329,4.861823
RAJ,Star,-6.236959,1.226985,4.860488
RAJ,Star,-6.236775,1.227449,4.860876
RAJ,Star,-6.237021,1.227102,4.861172
RAJ,Star,-6.236998,1.227096,4.861149
RAJ,Star,-6.236999,1.227096,4.86115
RAJ,Star,-6.236999,1.227096,4.86115
RAJ,Star,-6.262269,1.26437,4.831017
RAJ,Star,-6.26182,1.262263,4.834517
RAJ,Star,-6.261792,1.261413,4.838831
RAJ,Star,-6.262145,1.259305,4.842832
RAJ,Star,-6.259653,1.257336,4.849257
RAJ,Star,-6.258707,1.25464,4.852133
RAJ,Star,-6.258419,1.254021,4.853346
RAJ,Star,-6.258615,1.252775,4.856895
RAJ,Star,-6.258653,1.252817,4.860374
RAJ,Star,-6.256925,1.25025,4.865242
RAJ,Star,-6.256877,1.248709,4.870297
RAJ,Star,-6.256484,1.24754,4.874094
RAJ,Star,-6.255448,1.244954,4.878138
RAJ,Star,-6.253724,1.243323,4.881351
RAJ,Star,-6.252981,1.240781,4.884139
RAJ,Star,-6.250716,1.237693,4.886383
RAJ,Star,-6.249035,1.236816,4.889265
