Username,Trajectory,X,Y,Z
Raj,Star,-6.224118,1.19272,5.465171
Raj,Star,-6.355585,1.507387,4.989693
Raj,Star,-6.355585,1.499761,4.989693
Raj,Star,-6.355584,1.487246,4.989693
Raj,Star,-6.355584,1.467955,4.989693
Raj,Star,-6.355585,1.443358,4.989693
Raj,Star,-6.355584,1.414748,4.989693
Raj,Star,-6.355584,1.380669,4.989693
Raj,Star,-6.355584,1.340161,4.989693
Raj,Star,-6.355584,1.2949,4.989693
Raj,Star,-6.355584,1.243695,4.989693
Raj,Star,-6.351857,1.217593,4.988284
Raj,Star,-6.35186,1.217214,4.988308
Raj,Star,-6.351886,1.217205,4.988307
Raj,Star,-6.351884,1.217205,4.988304
Raj,Star,-6.351885,1.217205,4.988305
Raj,Star,-6.351885,1.217205,4.988305
Raj,Star,-6.351885,1.217205,4.988305
Raj,Star,-6.351885,1.217205,4.988304
Raj,Star,-6.351885,1.217205,4.988305
