Username,Trajectory,X,Y,Z
RAJ,Star,0.079,0.01,-0.014
RAJ,Star,-6.233912,1.229818,4.945147
RAJ,Star,-6.233912,1.229495,4.945147
RAJ,Star,-6.233912,1.229437,4.945147
RAJ,Star,-6.233912,1.229431,4.945147
RAJ,Star,-6.233912,1.22943,4.945147
RAJ,Star,-6.233912,1.22943,4.945147
RAJ,Star,-6.233912,1.22943,4.945147
RAJ,Star,-6.231069,1.22837,4.915545
RAJ,Star,-6.231021,1.226555,4.915355
RAJ,Star,-6.214827,1.259771,4.913037
RAJ,Star,-6.213786,1.257044,4.914411
RAJ,Star,-6.213188,1.256565,4.914384
RAJ,Star,-6.21297,1.256813,4.914448
RAJ,Star,-6.212788,1.257114,4.915065
RAJ,Star,-6.212672,1.257111,4.915363
RAJ,Star,-6.212002,1.256919,4.916395
RAJ,Star,-6.211203,1.256331,4.916603
RAJ,Star,-6.211576,1.256488,4.919077
RAJ,Star,-6.211613,1.256186,4.91932
RAJ,Star,-6.211525,1.256378,4.919866
RAJ,Star,-6.212501,1.259477,4.920378
RAJ,Star,-6.21492,1.263907,4.920265
RAJ,Star,-6.215885,1.268615,4.920232
RAJ,Star,-6.217139,1.275865,4.919969
RAJ,Star,-6.219451,1.286894,4.919808
RAJ,Star,-6.219922,1.296313,4.921409
RAJ,Star,-6.221648,1.311607,4.919261
RAJ,Star,-6.220403,1.330104,4.913432
RAJ,Star,-6.222525,1.348294,4.90721
RAJ,Star,-6.226269,1.36793,4.90422
RAJ,Star,-6.232957,1.385002,4.904375
RAJ,Star,-6.236402,1.411234,4.903659
RAJ,Star,-6.23597,1.426644,4.896993
RAJ,Star,-6.248275,1.426915,4.902797
RAJ,Star,-6.259283,1.430517,4.908678
RAJ,Star,-6.266392,1.441481,4.909853
RAJ,Star,-6.268242,1.452893,4.903542
RAJ,Star,-6.272593,1.46181,4.899247
RAJ,Star,-6.273739,1.468607,4.895185
RAJ,Star,-6.275249,1.46844,4.886302
RAJ,Star,-6.276417,1.46853,4.88087
RAJ,Star,-6.280299,1.474193,4.874759
RAJ,Star,-6.281896,1.475713,4.86627
RAJ,Star,-6.280759,1.479522,4.860338
RAJ,Star,-6.275467,1.482031,4.854831
RAJ,Star,-6.266393,1.487857,4.843746
RAJ,Star,-6.262396,1.487631,4.843568
RAJ,Star,-6.261055,1.486082,4.843511
RAJ,Star,-6.256862,1.485348,4.845435
RAJ,Star,-6.243842,1.489668,4.850085
RAJ,Star,-6.223543,1.494828,4.846532
RAJ,Star,-6.205201,1.496428,4.846576
RAJ,Star,-6.196773,1.484129,4.849894
RAJ,Star,-6.196486,1.47919,4.850954
RAJ,Star,-6.196262,1.473237,4.853659
RAJ,Star,-6.193913,1.466287,4.854944
RAJ,Star,-6.191588,1.458419,4.859736
RAJ,Star,-6.190787,1.452714,4.862529
RAJ,Star,-6.190916,1.445019,4.865421
RAJ,Star,-6.189901,1.442397,4.866867
RAJ,Star,-6.189194,1.44094,4.865907
RAJ,Star,-6.188702,1.441472,4.862807
RAJ,Star,-6.188941,1.441564,4.859882
RAJ,Star,-6.188906,1.442291,4.858871
RAJ,Star,-6.188473,1.441984,4.858538
RAJ,Star,-6.187421,1.441377,4.856524
RAJ,Star,-6.186814,1.442712,4.853475
RAJ,Star,-6.186604,1.443768,4.851589
RAJ,Star,-6.18662,1.44263,4.851711
RAJ,Star,-6.186092,1.443197,4.851368
RAJ,Star,-6.185441,1.443473,4.851895
RAJ,Star,-6.185284,1.444193,4.851381
RAJ,Star,-6.185085,1.445233,4.850035
RAJ,Star,-6.184916,1.44573,4.848825
RAJ,Star,-6.184328,1.445474,4.84846
RAJ,Star,-6.184131,1.445452,4.848061
RAJ,Star,-6.186012,1.445771,4.846197
RAJ,Star,-6.192792,1.45316,4.837755
RAJ,Star,-6.259227,1.497535,4.783401
RAJ,Star,-6.293717,1.504637,4.790016
RAJ,Star,-6.318228,1.503693,4.789893
RAJ,Star,-6.327267,1.505263,4.792265
RAJ,Star,-6.332954,1.511398,4.795959
RAJ,Star,-6.334313,1.509969,4.801627
RAJ,Star,-6.335773,1.506648,4.805844
RAJ,Star,-6.338747,1.505359,4.808242
RAJ,Star,-6.339521,1.506067,4.808767
RAJ,Star,-6.340678,1.506495,4.811941
RAJ,Star,-6.340619,1.506959,4.812794
RAJ,Star,-6.339998,1.506248,4.811881
RAJ,Star,-6.338944,1.506339,4.809497
RAJ,Star,-6.340015,1.50551,4.806975
RAJ,Star,-6.342511,1.508407,4.803843
RAJ,Star,-6.343574,1.508437,4.803186
RAJ,Star,-6.343592,1.508167,4.800791
RAJ,Star,-6.344061,1.507958,4.799026
RAJ,Star,-6.34317,1.510324,4.793336
RAJ,Star,-6.343971,1.511824,4.788255
RAJ,Star,-6.344743,1.512408,4.785253
RAJ,Star,-6.346162,1.513083,4.781487
RAJ,Star,-6.343722,1.514424,4.776701
RAJ,Star,-6.34354,1.51307,4.770494
RAJ,Star,-6.343873,1.514525,4.76445
RAJ,Star,-6.343108,1.516548,4.759503
RAJ,Star,-6.339259,1.515802,4.749187
RAJ,Star,-6.336378,1.515628,4.745063
RAJ,Star,-6.336982,1.518724,4.747088
RAJ,Star,-6.334084,1.521447,4.750987
RAJ,Star,-6.3269,1.526283,4.753385
RAJ,Star,-6.321371,1.52606,4.762473
RAJ,Star,-6.324839,1.520881,4.776139
RAJ,Star,-6.319455,1.52495,4.789166
RAJ,Star,-6.303559,1.533751,4.787888
RAJ,Star,-6.295116,1.541838,4.782905
RAJ,Star,-6.298626,1.555787,4.77572
RAJ,Star,-6.304571,1.56387,4.77129
RAJ,Star,-6.302454,1.571898,4.771249
RAJ,Star,-6.293583,1.585116,4.773128
RAJ,Star,-6.300611,1.597694,4.783832
RAJ,Star,-6.304704,1.600006,4.780188
RAJ,Star,-6.318716,1.585641,4.77917
RAJ,Star,-6.321841,1.57282,4.77798
RAJ,Star,-6.31704,1.564059,4.77472
RAJ,Star,-6.311552,1.559312,4.772474
RAJ,Star,-6.31015,1.554708,4.770872
RAJ,Star,-6.314001,1.549661,4.771484
RAJ,Star,-6.314021,1.5426,4.770758
RAJ,Star,-6.313029,1.541187,4.770994
RAJ,Star,-6.313072,1.540138,4.77106
RAJ,Star,-6.312796,1.541012,4.770181
RAJ,Star,-6.313473,1.546795,4.769792
RAJ,Star,-6.313608,1.551731,4.769875
RAJ,Star,-6.311896,1.554985,4.768786
RAJ,Star,-6.313332,1.557793,4.768335
RAJ,Star,-6.314653,1.559071,4.768317
RAJ,Star,-6.315829,1.558895,4.767863
RAJ,Star,-6.317303,1.559915,4.768869
RAJ,Star,-6.318487,1.560067,4.768615
RAJ,Star,-6.205564,1.227064,4.931651
RAJ,Star,-6.413052,1.51991,4.653869
RAJ,Star,-6.257592,1.468783,4.940123
RAJ,Star,-6.261013,1.4747,4.939998
RAJ,Star,-6.264729,1.481154,4.938445
RAJ,Star,-6.270261,1.486758,4.931355
RAJ,Star,-6.205563,1.218507,4.931651
RAJ,Star,-6.68181,1.665309,4.883374
RAJ,Star,-6.212188,1.229404,4.931808
RAJ,Star,-6.210318,1.229759,4.935307
RAJ,Star,-6.205374,1.231992,4.939446
RAJ,Star,-6.202896,1.233363,4.939976
RAJ,Star,-6.203086,1.23175,4.951258
RAJ,Star,-6.20473,1.229382,4.94761
RAJ,Star,-6.195984,1.22643,4.953051
RAJ,Star,-6.197069,1.224569,4.9414
RAJ,Star,-6.197559,1.232793,4.93043
RAJ,Star,-6.205871,1.231768,4.924294
RAJ,Star,-6.204911,1.232141,4.923112
RAJ,Star,-6.385923,1.690864,4.902267
RAJ,Star,-6.390772,1.694381,4.896172
RAJ,Star,-6.395944,1.696898,4.88841
RAJ,Star,-6.400563,1.701175,4.875798
RAJ,Star,-6.407685,1.708655,4.869575
RAJ,Star,-6.414954,1.717855,4.862568
RAJ,Star,-6.418854,1.724154,4.853439
RAJ,Star,-6.42153,1.729054,4.842139
RAJ,Star,-6.424186,1.731128,4.834325
RAJ,Star,-6.424309,1.731636,4.825041
RAJ,Star,-6.42649,1.729337,4.816584
RAJ,Star,-6.426419,1.728979,4.808624
RAJ,Star,-6.427847,1.726983,4.802404
RAJ,Star,-6.428176,1.724144,4.797668
RAJ,Star,-6.428143,1.721769,4.793822
RAJ,Star,-6.42791,1.719332,4.789199
RAJ,Star,-6.428176,1.715263,4.785442
RAJ,Star,-6.429646,1.712407,4.783218
RAJ,Star,-6.429369,1.70975,4.781831
RAJ,Star,-6.43145,1.705988,4.780654
RAJ,Star,-6.431332,1.704344,4.782104
RAJ,Star,-6.432102,1.702074,4.781664
RAJ,Star,-6.432394,1.701198,4.786507
RAJ,Star,-6.433918,1.699482,4.790604
RAJ,Star,-6.434186,1.696985,4.793206
RAJ,Star,-6.435696,1.695271,4.801127
RAJ,Star,-6.436157,1.693667,4.804636
RAJ,Star,-6.436123,1.692832,4.807249
RAJ,Star,-6.436569,1.692965,4.8107
RAJ,Star,-6.436628,1.691789,4.812727
RAJ,Star,-6.437037,1.69134,4.813831
RAJ,Star,-6.437998,1.691919,4.813998
RAJ,Star,-6.438488,1.693226,4.814049
RAJ,Star,-6.438394,1.695884,4.812423
RAJ,Star,-6.439247,1.69821,4.809447
RAJ,Star,-6.439535,1.699952,4.806943
RAJ,Star,-6.439492,1.703106,4.803032
RAJ,Star,-6.44245,1.705156,4.800491
RAJ,Star,-6.445508,1.707121,4.795809
RAJ,Star,-6.448615,1.709857,4.782507
RAJ,Star,-6.4519,1.70724,4.777211
RAJ,Star,-6.453544,1.705693,4.773612
RAJ,Star,-6.454071,1.705068,4.76945
RAJ,Star,-6.454803,1.705187,4.755862
RAJ,Star,-6.45546,1.70368,4.748097
RAJ,Star,-6.457095,1.701961,4.739425
RAJ,Star,-6.45936,1.697837,4.732708
RAJ,Star,-6.458447,1.693075,4.720083
RAJ,Star,-6.458678,1.690423,4.710262
RAJ,Star,-6.459201,1.68694,4.70265
RAJ,Star,-6.458594,1.683011,4.694013
RAJ,Star,-6.458222,1.677074,4.68326
RAJ,Star,-6.457711,1.673157,4.676695
RAJ,Star,-6.457255,1.669052,4.670182
RAJ,Star,-6.457216,1.665114,4.662699
RAJ,Star,-6.457148,1.662459,4.657277
RAJ,Star,-6.457335,1.659855,4.653013
RAJ,Star,-6.458692,1.65776,4.649197
RAJ,Star,-6.458734,1.656849,4.646055
RAJ,Star,-6.458632,1.655869,4.643818
RAJ,Star,-6.459216,1.655993,4.641385
RAJ,Star,-6.458913,1.656534,4.640475
RAJ,Star,-6.458912,1.656517,4.640672
RAJ,Star,-6.459087,1.656664,4.64025
RAJ,Star,-6.458768,1.655019,4.639847
RAJ,Star,-6.457915,1.653542,4.638506
RAJ,Star,-6.457103,1.649786,4.6358
RAJ,Star,-6.456641,1.64515,4.632574
RAJ,Star,-6.455089,1.640561,4.629056
RAJ,Star,-6.454218,1.633862,4.624953
RAJ,Star,-6.452992,1.629365,4.622664
RAJ,Star,-6.453178,1.62361,4.62044
RAJ,Star,-6.453465,1.615321,4.615796
RAJ,Star,-6.452396,1.609625,4.612501
RAJ,Star,-6.450432,1.604844,4.609338
RAJ,Star,-6.450796,1.597613,4.605659
RAJ,Star,-6.449213,1.592119,4.602812
RAJ,Star,-6.447309,1.585456,4.5991
RAJ,Star,-6.446831,1.577113,4.595378
RAJ,Star,-6.445981,1.570768,4.59234
RAJ,Star,-6.444855,1.565063,4.590238
RAJ,Star,-6.444368,1.559775,4.588863
RAJ,Star,-6.443192,1.552817,4.586601
RAJ,Star,-6.44214,1.547083,4.585008
RAJ,Star,-6.441186,1.542873,4.585051
RAJ,Star,-6.441001,1.534355,4.585098
RAJ,Star,-6.441443,1.532179,4.586815
RAJ,Star,-6.442839,1.53039,4.590179
RAJ,Star,-6.44321,1.528107,4.591335
RAJ,Star,-6.444188,1.522792,4.592446
RAJ,Star,-6.445717,1.516653,4.594246
RAJ,Star,-6.44748,1.511658,4.596457
RAJ,Star,-6.449153,1.505537,4.598649
RAJ,Star,-6.451665,1.501392,4.60333
RAJ,Star,-6.451929,1.499117,4.609303
RAJ,Star,-6.451035,1.496377,4.615578
RAJ,Star,-6.450315,1.491785,4.622666
RAJ,Star,-6.449505,1.486871,4.630055
RAJ,Star,-6.448424,1.48322,4.637713
RAJ,Star,-6.446787,1.480284,4.645533
RAJ,Star,-6.443443,1.477275,4.653073
RAJ,Star,-6.441547,1.473774,4.661147
RAJ,Star,-6.441351,1.471511,4.66994
RAJ,Star,-6.439322,1.471674,4.677798
RAJ,Star,-6.438623,1.47179,4.688421
RAJ,Star,-6.433032,1.469634,4.697144
RAJ,Star,-6.427782,1.467198,4.705791
RAJ,Star,-6.419257,1.46074,4.716261
RAJ,Star,-6.416317,1.458849,4.722918
RAJ,Star,-6.414049,1.457979,4.728546
RAJ,Star,-6.409806,1.455446,4.735709
RAJ,Star,-6.404812,1.454789,4.744322
RAJ,Star,-6.402602,1.456649,4.751839
RAJ,Star,-6.399115,1.456719,4.760098
RAJ,Star,-6.393593,1.456419,4.769828
RAJ,Star,-6.390269,1.457635,4.774047
RAJ,Star,-6.389068,1.456155,4.783907
RAJ,Star,-6.387408,1.455214,4.793426
RAJ,Star,-6.385122,1.456599,4.801327
RAJ,Star,-6.383027,1.458045,4.811469
RAJ,Star,-6.383894,1.463673,4.825065
RAJ,Star,-6.382449,1.466975,4.827883
RAJ,Star,-6.380011,1.4714,4.830807
RAJ,Star,-6.378475,1.473811,4.835349
RAJ,Star,-6.377687,1.476764,4.844594
RAJ,Star,-6.375702,1.483437,4.851474
RAJ,Star,-6.37501,1.487596,4.856998
RAJ,Star,-6.374773,1.490575,4.862023
RAJ,Star,-6.374648,1.494339,4.868876
RAJ,Star,-6.373194,1.49896,4.872658
RAJ,Star,-6.371089,1.505046,4.876852
RAJ,Star,-6.371124,1.512709,4.885394
RAJ,Star,-6.369967,1.519223,4.889663
RAJ,Star,-6.36764,1.527922,4.894644
RAJ,Star,-6.366599,1.53594,4.899679
RAJ,Star,-6.367229,1.541641,4.904469
RAJ,Star,-6.368536,1.547014,4.909222
RAJ,Star,-6.370125,1.554091,4.912378
RAJ,Star,-6.371785,1.560896,4.916844
RAJ,Star,-6.373178,1.567494,4.921638
RAJ,Star,-6.376089,1.578284,4.930215
RAJ,Star,-6.377934,1.584489,4.936049
RAJ,Star,-6.376461,1.591283,4.938784
RAJ,Star,-6.376359,1.597244,4.943673
RAJ,Star,-6.376455,1.602959,4.947126
RAJ,Star,-6.37676,1.609505,4.949601
RAJ,Star,-6.377295,1.615688,4.955019
RAJ,Star,-6.377812,1.621092,4.958195
RAJ,Star,-6.37773,1.629415,4.961334
RAJ,Star,-6.378762,1.635898,4.964306
RAJ,Star,-6.423457,1.531782,4.731976
RAJ,Star,-6.423457,1.492464,4.731976
RAJ,Star,-6.423457,1.44971,4.731976
RAJ,Star,-6.423457,1.403321,4.731976
RAJ,Star,-6.423457,1.355815,4.731976
RAJ,Star,-6.423457,1.307611,4.731976
RAJ,Star,-6.423434,1.25828,4.730307
RAJ,Star,-6.423245,1.239956,4.716284
RAJ,Star,-6.423041,1.226422,4.700169
RAJ,Star,-6.423071,1.22807,4.695253
RAJ,Star,-6.423478,1.228573,4.690889
RAJ,Star,-6.423827,1.228467,4.687479
RAJ,Star,-6.424132,1.228458,4.685426
RAJ,Star,-6.424225,1.228449,4.684893
RAJ,Star,-6.424238,1.228428,4.684981
RAJ,Star,-6.424244,1.228428,4.685009
RAJ,Star,-6.424244,1.228428,4.685008
RAJ,Star,-6.424244,1.228428,4.685008
RAJ,Star,-6.424245,1.228428,4.685008
RAJ,Star,-6.424244,1.228428,4.685008
