Username,Trajectory,X,Y,Z
Raj,Star,-6.509056,1.270645,4.638703
Raj,Star,-6.509056,1.267201,4.638703
Raj,Star,-6.509056,1.261179,4.638703
Raj,Star,-6.509056,1.252427,4.638703
Raj,Star,-6.509056,1.242309,4.638703
Raj,Star,-6.509056,1.229218,4.638703
Raj,Star,-6.508088,1.217659,4.639165
Raj,Star,-6.507609,1.216655,4.639292
Raj,Star,-6.507892,1.216535,4.639317
Raj,Star,-6.507891,1.216529,4.639313
Raj,Star,-6.507883,1.216528,4.639312
Raj,Star,-6.507883,1.216528,4.639312
Raj,Star,-6.507884,1.216528,4.639312
Raj,Star,-6.507884,1.216528,4.639312
Raj,Star,-6.507884,1.216528,4.639312
