Username,Trajectory,X,Y,Z
G,spiral,-6.327357,1.580253,4.95916
G,spiral,-6.33316,1.58029,4.965846
G,spiral,-6.336256,1.582579,4.976209
G,spiral,-6.339193,1.580433,4.981776
G,spiral,-6.341067,1.57628,4.986548
G,spiral,-6.344444,1.571666,4.988544
G,spiral,-6.345531,1.568097,4.989573
G,spiral,-6.347649,1.562814,4.99206
G,spiral,-6.349197,1.554371,4.996247
G,spiral,-6.347087,1.548358,4.9977
G,spiral,-6.343307,1.540741,4.993951
G,spiral,-6.340942,1.529765,4.989355
G,spiral,-6.340508,1.517642,4.986419
G,spiral,-6.343888,1.504233,4.984488
G,spiral,-6.344281,1.487091,4.977486
G,spiral,-6.337265,1.464782,4.958781
G,spiral,-6.327531,1.444388,4.930236
G,spiral,-6.320078,1.411877,4.921671
G,spiral,-6.294544,1.384047,4.904772
G,spiral,-6.274812,1.361512,4.903562
G,spiral,-6.265688,1.3515,4.912848
G,spiral,-6.272188,1.351289,4.925631
G,spiral,-6.289278,1.356731,4.942601
G,spiral,-6.3153,1.362307,4.961502
G,spiral,-6.340507,1.373462,4.980389
G,spiral,-6.407145,1.414941,5.00656
G,spiral,-6.460867,1.488534,5.024387
G,spiral,-6.472695,1.557502,5.036241
G,spiral,-6.466331,1.615184,5.028785
G,spiral,-6.448407,1.6525,5.016521
G,spiral,-6.434332,1.661087,4.997668
G,spiral,-6.421511,1.657666,4.975176
G,spiral,-6.415462,1.647996,4.962325
G,spiral,-6.41487,1.631181,4.951939
G,spiral,-6.417717,1.602564,4.944188
G,spiral,-6.418413,1.561683,4.937517
G,spiral,-6.403619,1.517243,4.91858
G,spiral,-6.361447,1.451686,4.891545
G,spiral,-6.352096,1.446122,4.881601
G,spiral,-6.348684,1.448732,4.875832
G,spiral,-6.341475,1.461569,4.863404
G,spiral,-6.33473,1.469838,4.857914
G,spiral,-6.331038,1.471759,4.858721
G,spiral,-6.324993,1.474879,4.858456
G,spiral,-6.321202,1.480261,4.85698
G,spiral,-6.322303,1.486619,4.85563
G,spiral,-6.321858,1.491395,4.852767
G,spiral,-6.319758,1.492287,4.849307
G,spiral,-6.315304,1.487942,4.844626
G,spiral,-6.310745,1.484313,4.83887
G,spiral,-6.309542,1.483036,4.834368
G,spiral,-6.307543,1.48196,4.829638
G,spiral,-6.304854,1.478014,4.824529
G,spiral,-6.306976,1.472265,4.824194
G,spiral,-6.307468,1.467378,4.823668
G,spiral,-6.308955,1.459419,4.823919
G,spiral,-6.312042,1.451718,4.825521
G,spiral,-6.31713,1.443187,4.827917
G,spiral,-6.324022,1.433772,4.832531
G,spiral,-6.338048,1.419843,4.84139
G,spiral,-6.357371,1.406351,4.852013
G,spiral,-6.380032,1.387449,4.865481
G,spiral,-6.403959,1.370959,4.88226
G,spiral,-6.444505,1.366579,4.903322
G,spiral,-6.492632,1.380067,4.92775
G,spiral,-6.540122,1.407584,4.966508
G,spiral,-6.565447,1.451153,4.991602
G,spiral,-6.577519,1.4902,5.012904
G,spiral,-6.572849,1.521046,5.015757
G,spiral,-6.563355,1.54,5.012698
G,spiral,-6.543566,1.55621,5.002503
G,spiral,-6.522162,1.560559,4.98639
G,spiral,-6.505791,1.554033,4.97222
G,spiral,-6.497863,1.542413,4.954777
G,spiral,-6.492243,1.52944,4.940289
G,spiral,-6.490103,1.513474,4.935777
G,spiral,-6.476914,1.47647,4.914435
G,spiral,-6.463274,1.45571,4.90769
G,spiral,-6.448468,1.430344,4.900774
G,spiral,-6.434606,1.408675,4.898239
G,spiral,-6.410613,1.384832,4.892717
G,spiral,-6.361956,1.359528,4.881468
G,spiral,-6.339161,1.356684,4.880885
G,spiral,-6.297508,1.351425,4.879095
