Username,Trajectory,X,Y,Z
Gaurav,Star,-6.222639,1.19272,5.502141
Gaurav,Star,-6.34021,1.666884,5.264261
Gaurav,Star,-6.34021,1.662813,5.264261
Gaurav,Star,-6.34021,1.65639,5.264261
Gaurav,Star,-6.34021,1.647558,5.264261
Gaurav,Star,-6.34021,1.635894,5.264261
Gaurav,Star,-6.34021,1.622258,5.264261
Gaurav,Star,-6.34021,1.606504,5.264261
Gaurav,Star,-6.34021,1.587463,5.264261
Gaurav,Star,-6.34021,1.567165,5.264261
Gaurav,Star,-6.34021,1.54345,5.264261
Gaurav,Star,-6.34021,1.517074,5.264261
Gaurav,Star,-6.34021,1.489313,5.264261
Gaurav,Star,-6.34021,1.458786,5.264261
Gaurav,Star,-6.34021,1.426298,5.264261
Gaurav,Star,-6.34021,1.391372,5.264261
Gaurav,Star,-6.34021,1.352044,5.264261
Gaurav,Star,-6.34021,1.31292,5.264261
Gaurav,Star,-6.34021,1.269627,5.264261
Gaurav,Star,-6.340046,1.23873,5.259105
Gaurav,Star,-6.341835,1.232034,5.246902
Gaurav,Star,-6.34653,1.22809,5.23559
Gaurav,Star,-6.350767,1.229797,5.230034
Gaurav,Star,-6.355401,1.230328,5.224768
Gaurav,Star,-6.359908,1.229391,5.220651
Gaurav,Star,-6.36395,1.228602,5.218457
Gaurav,Star,-6.366801,1.228057,5.217614
Gaurav,Star,-6.368606,1.227168,5.217922
Gaurav,Star,-6.369091,1.225784,5.218944
Gaurav,Star,-6.36839,1.222387,5.221364
Gaurav,Star,-6.36828,1.222226,5.221402
Gaurav,Star,-6.368276,1.222229,5.22138
Gaurav,Star,-6.368275,1.222229,5.221377
Gaurav,Star,-6.368275,1.222229,5.221377
Gaurav,Star,-6.368276,1.222229,5.221377
Gaurav,Star,-6.368275,1.222229,5.221377
Gaurav,Star,-6.368275,1.222229,5.221377
