Username,Trajectory,X,Y,Z
Raj,Star,0.079,0.01,-0.014
Raj,Star,-6.233912,1.231057,4.945147
Raj,Star,-6.233912,1.231058,4.945147
Raj,Star,-6.233912,1.231058,4.945147
Raj,Star,-6.233912,1.231058,4.945147
Raj,Star,-6.250225,1.230796,4.924326
Raj,Star,-6.228931,1.25563,4.90047
Raj,Star,-6.184326,1.254858,4.939962
Raj,Star,-6.202243,1.282738,4.961908
Raj,Star,-6.310275,1.429257,4.840019
Raj,Star,-6.337223,1.539184,4.697536
Raj,Star,-6.338297,1.555101,4.626103
Raj,Star,-6.276304,1.455575,4.568618
Raj,Star,-6.34019,1.411108,4.665136
Raj,Star,-6.368174,1.428065,4.783049
Raj,Star,-6.374977,1.515224,4.923029
Raj,Star,-6.383431,1.650824,4.952045
Raj,Star,-6.415971,1.754904,4.917679
Raj,Star,-6.441257,1.806735,4.845517
Raj,Star,-6.383033,1.587532,4.468123
Raj,Star,-6.392724,1.50404,4.489349
Raj,Star,-6.350143,1.432438,4.550137
Raj,Star,-6.356038,1.419137,4.665801
Raj,Star,-6.311334,1.45927,4.7247
Raj,Star,-6.353951,1.542467,4.950505
Raj,Star,-6.351047,1.644,5.055858
Raj,Star,-6.402165,1.721447,4.979287
Raj,Star,-6.438463,1.795727,4.857697
Raj,Star,-6.376713,1.771185,4.484916
Raj,Star,-6.391738,1.688942,4.470052
Raj,Star,-6.412324,1.558475,4.469923
Raj,Star,-6.412324,1.287833,4.469923
Raj,Star,-6.412324,1.257966,4.469923
RAJ,spiral,-6.427884,1.453189,4.807976
RAJ,spiral,-6.417043,1.446505,4.798458
RAJ,spiral,-6.39579,1.43798,4.782612
RAJ,spiral,-6.372191,1.43216,4.773008
RAJ,spiral,-6.362762,1.426684,4.767812
RAJ,spiral,-6.328504,1.421595,4.757104
RAJ,spiral,-6.308732,1.413259,4.75018
RAJ,spiral,-6.277971,1.398418,4.742306
RAJ,spiral,-6.263423,1.392328,4.73977
RAJ,spiral,-6.240691,1.383127,4.739373
RAJ,spiral,-6.194999,1.379943,4.741965
RAJ,spiral,-6.170936,1.384168,4.746022
RAJ,spiral,-6.141727,1.382573,4.758655
RAJ,spiral,-6.119525,1.384925,4.77015
RAJ,spiral,-6.101914,1.387653,4.787155
RAJ,spiral,-6.152396,1.476804,4.847671
RAJ,spiral,-6.158406,1.498492,4.861252
RAJ,spiral,-6.155365,1.516698,4.869438
RAJ,spiral,-6.148972,1.525193,4.870197
RAJ,spiral,-6.210449,1.229323,4.932294
RAJ,spiral,-6.143106,1.394926,4.79785
RAJ,spiral,-6.152041,1.22082,4.934933
RAJ,spiral,-6.143826,1.242894,4.898726
RAJ,spiral,-6.19158,1.233949,4.915375
RAJ,spiral,-6.18603,1.251849,4.901467
RAJ,spiral,-6.202408,1.244251,4.915091
RAJ,spiral,-6.226164,1.228925,4.926894
RAJ,spiral,-6.224792,1.225049,4.935898
RAJ,spiral,-6.212049,1.236363,4.923474
RAJ,spiral,-6.208832,1.239995,4.92111
RAJ,spiral,-6.223501,1.22456,4.932981
RAJ,spiral,-6.214703,1.226208,4.934063
RAJ,spiral,-6.210991,1.221537,4.935762
RAJ,spiral,-6.209947,1.22091,4.93354
RAJ,spiral,-6.206503,1.218579,4.928696
RAJ,spiral,-6.202566,1.218936,4.927916
RAJ,spiral,-6.201648,1.217389,4.930552
RAJ,spiral,-6.203832,1.223614,4.920233
RAJ,spiral,-6.202272,1.220465,4.92145
RAJ,spiral,-6.208362,1.204223,4.935273
RAJ,spiral,-6.218098,1.212653,4.92608
RAJ,spiral,-6.211393,1.22279,4.921941
RAJ,spiral,-6.223152,1.217432,4.932714
RAJ,spiral,-6.221497,1.228466,4.927385
RAJ,spiral,-6.212664,1.231083,4.924162
RAJ,spiral,-6.212568,1.230687,4.939935
RAJ,spiral,-6.21059,1.229035,4.930241
RAJ,spiral,-6.212511,1.230961,4.928731
RAJ,spiral,-6.214349,1.230157,4.93005
RAJ,spiral,-6.218104,1.23132,4.930969
RAJ,spiral,-6.211844,1.233521,4.929597
RAJ,spiral,-6.21,1.236415,4.926576
RAJ,spiral,-6.218294,1.238047,4.926504
RAJ,spiral,-6.210545,1.230899,4.931758
RAJ,spiral,-6.210833,1.228995,4.930836
RAJ,spiral,-6.21137,1.229717,4.929381
RAJ,spiral,-6.214354,1.229177,4.928099
RAJ,spiral,-6.213269,1.2307,4.929589
RAJ,spiral,-6.211374,1.229515,4.927261
RAJ,spiral,-6.215431,1.226745,4.921926
RAJ,spiral,-6.21269,1.227852,4.926504
RAJ,spiral,-6.200592,1.232456,4.90174
RAJ,spiral,-6.209064,1.229948,4.931801
RAJ,spiral,-6.204315,1.231288,4.921114
RAJ,spiral,-6.207656,1.230103,4.928035
RAJ,spiral,-6.209748,1.227993,4.929308
RAJ,spiral,-6.208946,1.228427,4.932425
RAJ,spiral,-6.207843,1.227954,4.936269
RAJ,spiral,-6.211714,1.223878,4.940155
RAJ,spiral,-6.210768,1.225618,4.946443
RAJ,spiral,-6.212876,1.221365,4.944632
RAJ,spiral,-6.21591,1.224725,4.953664
RAJ,spiral,-6.216516,1.22082,4.951693
RAJ,spiral,-6.218623,1.220868,4.948533
RAJ,spiral,-6.21922,1.219912,4.948776
RAJ,spiral,-6.219447,1.221177,4.957664
RAJ,spiral,-6.216647,1.223973,4.957224
RAJ,spiral,-6.221915,1.227843,4.990429
RAJ,spiral,-6.246346,1.218154,4.998761
